"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Zambia","Alfalfa meal and pellets",0.0651708222811671,17351708,37000,"Import_kg",862,"Mixed grain",12,1.14,37.4,8.11,241.13,0,0,0,0,0,0,1.13,34.57,0,0,1.03,0,0,0,0,0.11,0.39,0,1.44,1.74,3.41,0,0,0,0,0
"2","Zambia","Almonds shelled",0.0296505238073522,17351708,12000,"Import_kg",231,"Almonds; with shell",45,1.39,49.47,119.32,42.12,0,0,0,0.57,0,0,1.84,16.91,0,0,1.13,0,0,0,0,0.12,0.75,0,9.22,78.78,27.21,0,0,0,0,0.15
"3","Zambia","Almonds, with shell",0.0296505238073522,17351708,1000,"Import_kg",221,"Almonds; with shell",45,0.12,4.12,9.94,3.51,0,0,0,0,0,0,0.15,1.41,0,0,0,0,0,0,0,0,0,0,0.77,6.56,2.27,0,0,0,0,0
"4","Zambia","Anise, badian, fennel, coriander",0.00195,17351708,9000,"Import_kg",711,"Anise; badian; fennel; coriander",161,9.25,420.62,381.19,1243.04,0.28,0,0,21.63,0.85,0.12,39.46,635.13,0,1.97,12.24,0,0,0,0,14.57,8.38,0,22.4,289.58,69.91,0,0,0.26,0.18,0
"5","Zambia","Apples",0.121111111111111,17351708,6375000,"Import_kg",515,"Apples",119,17.03,94.17,89.36,3969.43,4.4,0,0,2.35,0.21,0,31.2,429.76,0,1.77,3.29,0,0,0,0,49.2,1.42,0,11.83,2.58,19.87,0,0,25.63,0,3.03
"6","Zambia","Apricots",0.03995,17351708,6000,"Import_kg",526,"Apricots",125,0,0.87,0.22,9.85,0,0,0,0,0,0,0.25,1.18,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0
"7","Zambia","Apricots, dry",0.03995,17351708,1000,"Import_kg",527,"Apricots",125,0,0.14,0,1.64,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","Zambia","Asparagus",0.0845294117647059,17351708,2000,"Import_kg",367,"Asparagus",80,0,0.29,0,0.42,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","Zambia","Avocados",0.048,17351708,6000,"Import_kg",572,"Avocados",141,0.1,1.16,10.15,3.13,0,0,0,0,0,0,0.37,3.16,0,0,0.12,0,0,0,0,0,0,0,1.72,5.72,1.2,0,0,0,0,0
"10","Zambia","Bananas",0.04075,17351708,5518000,"Production_kg/Import_kg",486,"Bananas",117,78.61,948.76,181.44,18217.65,8.31,0,0,7.69,0.62,0.13,265.18,1220.25,0,4.95,19.79,0,0,0.66,0.27,7.65,22.11,0.21,86.62,20.29,44.09,0,0,56.85,0.65,27.7
"11","Zambia","Barley",0.04775,17351708,11948000,"Production_kg/Import_kg",44,"Barley",3,496.27,13186.8,2006.72,107514.95,0.96,0,0,80.39,11.22,3.65,371.33,11944.96,0.92,30.86,421.76,0.38,0.19,7.71,0.42,54.51,112,2.05,523.46,320.13,1202.67,0,0,16.93,2.64,0
"12","Zambia","Beans, dry",0.1145,17351708,37000,"Import_kg",176,"Beans",30,0.61,39.65,2.56,108.02,0,0,0,0.26,0,0,2.18,23.1,0,0,0.72,0,0,0,0,0.21,0.32,0,0.58,0.26,0.89,0,0,0,0,0
"13","Zambia","Beans, green",0.0843965476190476,17351708,2000,"Import_kg",414,"Beans; green",92,0,0.62,0,1.02,0,0,0,0,0,0,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","Zambia","Bran, maize",0.0538461538461538,17351708,55000,"Import_kg",59,"Corn Flour",223,2.09,50.02,19.31,429.38,0,0,0,0.17,0,0,1.25,26.36,0,0,1.16,0,0,0,0,0,0.34,0,1.74,6.29,10.44,0,0,0,0,0
"15","Zambia","Brazil nuts, shelled",0.0297575757575758,17351708,4000,"Import_kg",229,"Brazil nuts; with shell",42,0.51,11.66,52.69,8.11,0,0,0,0.13,0,0,0.51,5.81,0,0,0.59,0,0,0,0,0,0.29,0,12.5,18.5,18.9,0,0,0,0,0
"16","Zambia","Cabbages and other brassicas",0.08324,17351708,53000,"Import_kg",358,"Cabbages and other brassicas",78,0,8.33,1.12,16.08,0.23,0,0,0.45,0,0,1.05,8.1,0,0.14,0.26,0,0,0,0,0,0,0,0.13,0,0.32,0,0,0.33,0,0.1
"17","Zambia","Cake, groundnuts",0.014,17351708,2000,"Import_kg",245,"Groundnut Oil",64,0.74,0,82.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.05,36.03,28.27,0,0,0,0,0
"18","Zambia","Cake, soybeans",0.014,17351708,343000,"Import_kg",238,"Soyabean Oil",63,126.25,0,14104.12,1.18,0,0,0,0.22,0,0,0,0,0,0.22,0,0,0,0,0,0,0,0,3736.72,3302.75,6395.47,0,0,0,0,0
"19","Zambia","Carrots and turnips",0.0830718954248366,17351708,259000,"Import_kg",426,"Carrots and turnips",96,0.54,23.53,4.21,105.42,0.49,0,0,1.19,0,0,5.23,36.49,0,0.85,2.14,0,0,0,0,1.88,0.22,0,0.58,0.26,1.36,0,0,1.6,0,0.41
"20","Zambia","Cashew nuts, shelled",0.0289438420348059,17351708,10000,"Import_kg",230,"Cashew nuts; with shell",43,1.08,36.59,83.8,48.15,0,0,0,0,0,0,1.3,5.3,0,0.18,0.94,0,0,0,0,0,0.6,0,15.5,47.38,15.62,0,0,0,0,0
"21","Zambia","Cassava",0.108277777777778,17351708,4036584000,"Production_kg",125,"Cassava",17,29882.64,392599.92,101981.45,6669699.35,6918.12,2.2,5.48,8376.11,261.58,73.05,80783.06,317975.86,21.48,1976.61,8466.99,13.37,11.96,123.26,18.91,5091.91,4511.82,82.5,18691.82,18799.25,9453.34,0,0,13498.5,301.99,4511.82
"22","Zambia","Cauliflowers and broccoli",0.103835520801038,17351708,24000,"Import_kg",393,"Cauliflowers and broccoli",84,0,4.13,0.43,5.42,0.11,0,0,0,0,0,0.39,2.53,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0
"23","Zambia","Cereal preparations nes",0.0486257263475995,17351708,46000,"Import_kg",113,"Cereals; nes",13,1.9,71.01,25.09,400.67,0,0,0,0.79,0.12,0,2.33,17.21,0,0,2.08,0,0,0,0,0,1,0,2.45,3.21,5.84,0,0,0,0,0
"24","Zambia","Cherries",0.1289,17351708,6000,"Import_kg",531,"Cherries",127,0,0.29,0,2.79,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","Zambia","Chick peas",0.04575,17351708,3000,"Import_kg",191,"Chick peas",33,0.13,7.35,1.9,22.04,0,0,0,0,0,0,0.31,2.88,0,0,0.12,0,0,0,0,0,0,0,0.23,0.52,1.01,0,0,0,0,0
"26","Zambia","Chillies and peppers, dry",4e-04,17351708,513000,"Production_kg/Import_kg",689,"Pimento",156,1777.3,75743.99,65973.88,303315.08,557.54,5.02,0.4,1533.41,53.96,19.53,13466.77,164232.54,4.88,3353.76,1374.17,2.06,3.22,40.78,12.74,380.65,1134.55,16.1,19586.69,12577.36,45569.23,0,0,207.16,44.23,0
"27","Zambia","Chillies and peppers, green",0.0664142191142191,17351708,34000,"Import_kg",401,"Chillies and peppers; green",88,0.12,5.25,1.96,20.38,0.34,0,0,0,0,0,0.83,9.48,0,0,0.3,0,0,0,0,0,0.11,0,0.12,0,0.54,0,0,0.26,0,0
"28","Zambia","Chocolate products nes",0.0115,17351708,1321000,"Import_kg",666,"Cocoa Beans",153,150.94,10682.15,27375.32,38330.22,0,0,0,71.01,3.36,4.51,664.32,24494.27,2.51,5.46,388.26,0.11,0.13,1.22,0,7.94,330.34,2.54,15237.75,10520.95,569.33,0,0,2.57,2.63,0
"29","Zambia","Cider etc",0.0683571428571429,17351708,3915000,"Import_kg",517,"Fruit juice; nes",149,16.44,81.99,44.74,4015.03,24.76,0,0,3.34,0,0,35.66,93.94,0,2.56,2.71,0,0,0.14,0,0.9,2.46,0,8.28,11.28,20.49,0,0,29.04,0,0
