"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Myanmar","Almonds shelled",0.0296505238073522,53708320,13000,"Import_kg",231,"Almonds; with shell",45,0.49,17.31,41.76,14.74,0,0,0,0.2,0,0,0.64,5.92,0,0,0.39,0,0,0,0,0,0.26,0,3.23,27.57,9.52,0,0,0,0,0
"2","Myanmar","Anise, badian, fennel, coriander",0.00195,53708320,749000,"Import_kg",711,"Anise; badian; fennel; coriander",161,248.58,11309.13,10248.9,33421.4,7.47,0,0,581.62,22.95,3.32,1060.95,17076.53,0.67,52.92,329.04,0.23,0.22,2.2,0.36,391.8,225.28,1.95,602.31,7785.99,1879.59,0,0,7.12,4.81,0
"3","Myanmar","Apples",0.121111111111111,53708320,68703000,"Import_kg",515,"Apples",119,59.29,327.87,311.14,13820.5,15.33,0,0,8.19,0.74,0,108.64,1496.3,0,6.15,11.47,0,0,0.2,0,171.32,4.93,0,41.19,8.98,69.18,0,0,89.25,0.27,10.56
"4","Myanmar","Apricots",0.03995,53708320,1000,"Import_kg",526,"Apricots",125,0,0,0,0.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","Myanmar","Avocados",0.048,53708320,5000,"Import_kg",572,"Avocados",141,0,0.31,2.73,0.84,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0.46,1.54,0.32,0,0,0,0,0
"6","Myanmar","Bananas",0.04075,53708320,2000,"Import_kg",486,"Bananas",117,0,0.11,0,2.13,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","Myanmar","Barley",0.04775,53708320,683000,"Import_kg",44,"Barley",3,9.17,243.54,37.06,1985.61,0,0,0,1.48,0.21,0,6.86,220.6,0,0.57,7.79,0,0,0.14,0,1.01,2.07,0,9.67,5.91,22.21,0,0,0.31,0,0
"8","Myanmar","Beans, dry",0.1145,53708320,5847182000,"Production_kg/Import_kg",176,"Beans",30,31331.32,2024505.85,130540.81,5514858.3,172.49,0.52,38.87,13303.61,693.34,277.68,111178,1179277.17,82.93,1485.19,36773.54,42.96,20.99,190.04,36.86,10497.08,16438.95,123.83,29390.99,13050.92,45216.9,0,0,1114.72,363.27,0
"9","Myanmar","Beans, green",0.0843965476190476,53708320,328000,"Import_kg",414,"Beans; green",92,0.35,33,3.94,54.15,0.17,0,0,0.46,0,0,2.11,16.21,0,0.12,0.77,0,0,0,0,0,0.22,0,0.35,0.13,0.68,0,0,0.6,0,0
"10","Myanmar","Blueberries",0.134028846153846,53708320,6000,"Import_kg",552,"Blueberries",136,0,0,0,1.21,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","Myanmar","Bran, maize",0.0538461538461538,53708320,8440000,"Import_kg",59,"Corn Flour",223,103.76,2479.99,957.35,21287.14,0.11,0,0,8.18,1.1,0.39,62.13,1306.72,0,2.08,57.46,0,0,0.52,0,0,16.8,0,86.17,311.83,517.65,0,0,3.04,0.34,0
"12","Myanmar","Bran, wheat",0.0374838709677419,53708320,1e+06,"Import_kg",17,"Wheat Flour",222,17.16,569.84,75.14,3534.04,0,0,0,1.99,0.14,0,8.54,65.24,0,1.6,9.19,0,0,0.11,0,0.52,2.25,0,7.7,4.32,20.51,0,0,0.58,0,0
"13","Myanmar","Bulgur",0.0442045454545455,53708320,1000,"Import_kg",21,"Wheat",1,0,0.48,0,2.92,0,0,0,0,0,0,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","Myanmar","Cabbages and other brassicas",0.08324,53708320,4000,"Import_kg",358,"Cabbages and other brassicas",78,0,0.2,0,0.39,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","Myanmar","Cake, palm kernel",0.012,53708320,272000,"Import_kg",259,"Palmkernel Oil",68,37.18,0,4220.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3439.57,481.12,67.53,0,0,0,0,0
"16","Myanmar","Cake, rapeseed",0.0137773983739837,53708320,17107000,"Import_kg",272,"Rape and Mustard Oil",66,2069.79,0,231154.86,0,0,0,0,5.2,2.14,0.31,0,0,0,4.05,0,0,0,0,0,0.46,0,0,19301.88,136757.65,64171.59,0,0,0,0,0
