"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Ethiopia","Almonds shelled",0.0296505238073522,109224414,1000,"Import_kg",231,"Almonds; with shell",45,0,0.65,1.58,0.56,0,0,0,0,0,0,0,0.22,0,0,0,0,0,0,0,0,0,0,0.12,1.04,0.36,0,0,0,0,0
"2","Ethiopia","Anise, badian, fennel, coriander",0.00195,109224414,6564000,"Production_kg/Import_kg",711,"Anise; badian; fennel; coriander",161,1071.21,48734.63,44165.76,144023.46,32.21,0,0,2506.4,98.91,14.29,4571.95,73588.19,2.89,228.06,1417.94,1.01,0.93,9.49,1.54,1688.4,970.79,8.41,2595.55,33552.31,8099.77,0,0,30.7,20.75,0
"3","Ethiopia","Apples",0.121111111111111,109224414,1352000,"Import_kg",515,"Apples",119,0.57,3.17,3.01,133.74,0.15,0,0,0,0,0,1.05,14.48,0,0,0.11,0,0,0,0,1.66,0,0,0.4,0,0.67,0,0,0.86,0,0.1
"4","Ethiopia","Apricots, dry",0.03995,109224414,6000,"Import_kg",527,"Apricots",125,0,0.14,0,1.57,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","Ethiopia","Avocados",0.048,109224414,104493000,"Production_kg/Import_kg",572,"Avocados",141,290.35,3205.77,28077.72,8650,25.5,0,0.12,40.99,1.91,0.96,1016.55,8736.36,0.42,13.15,338.33,0.13,0.28,2.76,0.61,28.3,60.29,0.28,4766.47,15829.59,3316.5,0,0,153.26,2.34,75.74
"6","Ethiopia","Bananas",0.04075,109224414,539443000,"Production_kg",486,"Bananas",117,1220.93,14734.74,2817.87,282929.88,129.03,0.45,0.23,119.4,9.68,2,4118.33,18951.08,1.12,76.92,307.4,0.65,0.61,10.32,4.23,118.77,343.4,3.27,1345.31,315.12,684.77,0,0,882.85,10.05,430.26
"7","Ethiopia","Barley",0.04775,109224414,2394019000,"Production_kg/Import_kg",44,"Barley",3,15796.95,419753.63,63876.68,3422344.71,30.6,0,0.96,2559.05,357.05,116.04,11819.84,380224.09,29.35,982.31,13425.17,12.07,5.94,245.45,13.27,1735.11,3565.08,65.26,16662.54,10190.31,38282.52,0,0,539,84.09,0
"8","Ethiopia","Beans, dry",0.1145,109224414,485606000,"Production_kg/Import_kg",176,"Beans",30,1279.49,82675.78,5330.96,225213.09,7.04,0,1.59,543.29,28.31,11.34,4540.23,48158.75,3.39,60.65,1501.74,1.75,0.86,7.76,1.51,428.67,671.33,5.06,1200.25,532.97,1846.55,0,0,45.52,14.84,0
"9","Ethiopia","Beans, green",0.0843965476190476,109224414,8018000,"Production_kg/Import_kg",414,"Beans; green",92,4.15,396.61,47.35,650.84,1.99,0,0,5.48,0.19,0,25.32,194.9,0,1.44,9.27,0,0,0,0,0.7,2.61,0,4.23,1.59,8.18,0,0,7.23,0,1.08
"10","Ethiopia","Broad beans, horse beans, dry",0.052,109224414,1006773000,"Production_kg/Import_kg",181,"Broad beans; horse beans; dry",32,5929.32,425382.4,28154.65,974895.4,48.27,0,7.5,1756.55,143.14,61.9,21150.55,343291.75,14.57,323.2,6761.91,6.86,5.12,46.69,6.52,1698.14,3394.51,28.82,4466.93,5344.36,10697.59,0,0,184.81,53.26,478.6
"11","Ethiopia","Cabbages and other brassicas",0.08324,109224414,435863000,"Production_kg",358,"Cabbages and other brassicas",78,128.79,10887.97,1461.16,21010.21,293.99,1.1,0.3,588.32,8.3,1.64,1368.98,10579.87,0.74,188.44,337.99,0.29,0.49,3.72,0.86,118.2,117.05,1.22,164.47,85.92,421.13,0,0,435.5,5.3,132.31
"12","Ethiopia","Carrots and turnips",0.0830718954248366,109224414,18241000,"Production_kg/Import_kg",426,"Carrots and turnips",96,6.08,263.25,47.07,1179.46,5.5,0.12,0,13.34,0.31,0,58.51,408.25,0,9.49,23.95,0,0,0.16,0,21.03,2.45,0,6.5,2.95,15.21,0,0,17.94,0.25,4.62
"13","Ethiopia","Cashew nuts, shelled",0.0289438420348059,109224414,1000,"Import_kg",230,"Cashew nuts; with shell",43,0,0.58,1.33,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.75,0.25,0,0,0,0,0
"14","Ethiopia","Castor oil seed",0.0178426203877423,109224414,11157000,"Production_kg",265,"Oilcrops Oil; Other",75,505.34,71.47,52040.88,31.08,0,0,0,0.98,0.11,0,1.03,0,0,0.27,0.99,0,0,0,0,2.46,0.21,0,12950.27,21094.31,18792.72,0,0,4.54,0.1,0
"15","Ethiopia","Cereals nes",0.0486257263475995,109224414,5735710000,"Production_kg",108,"Cereals; nes",13,37609.06,1406557.03,497056.11,7936645.72,116.09,0,0,15679.65,2394.8,410.56,46113.62,340953.85,87.48,842.36,41105.08,38.76,28.65,157.45,52.05,1414.73,19870.98,997.87,48489.5,63608.72,115662.04,0,0,1178.64,423.27,0
"16","Ethiopia","Chick peas",0.04575,109224414,435201000,"Production_kg/Import_kg",191,"Chick peas",33,3067.84,169340.66,43840.85,507888.82,18.29,0,3.24,1187.62,60.34,30.03,7045.76,66480.35,8,174.71,2703.34,3.44,1.53,15.35,4.66,1277.21,862.21,98.05,5369.23,11875.02,23170.87,0,0,91.43,25.85,0
"17","Ethiopia","Chillies and peppers, dry",4e-04,109224414,313140000,"Production_kg/Import_kg",689,"Pimento",156,172347.29,7345001.61,6397579.85,29412889.62,54065.74,486.57,39.24,148696.99,5232.17,1893.97,1305891.83,15925859.76,472.87,325218.67,133254.93,200.08,312.17,3954.23,1235.47,36911.87,110018.88,1560.81,1899348.71,1219644.68,4418912.42,0,0,20088.9,4288.94,0
"18","Ethiopia","Chillies and peppers, green",0.0664142191142191,109224414,67272000,"Production_kg/Import_kg",401,"Chillies and peppers; green",88,36.34,1651.17,616.29,6406.15,106.94,0.12,0,25.64,1.51,0.29,261.45,2981.19,0.14,6.58,94.48,0.12,0.11,1.1,0.33,7.49,33.46,0.22,38.67,16.55,169.22,0,0,81.86,0.82,15.35
