"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Guatemala","Almonds, with shell",0.0296505238073522,17247849,25000,"Import_kg",221,"Almonds; with shell",45,2.91,103.68,250.08,88.27,0,0,0,1.19,0,0,3.85,35.44,0,0,2.36,0,0,0,0,0.25,1.57,0,19.31,165.11,57.02,0,0,0,0,0.32
"2","Guatemala","Anise, badian, fennel, coriander",0.00195,17247849,208000,"Import_kg",711,"Anise; badian; fennel; coriander",161,214.96,9779.51,8862.68,28901,6.46,0,0,502.96,19.85,2.87,917.45,14766.84,0.58,45.76,284.54,0.2,0.19,1.9,0.31,338.81,194.81,1.69,520.85,6732.9,1625.37,0,0,6.16,4.16,0
"3","Guatemala","Apples",0.121111111111111,17247849,25940000,"Import_kg",515,"Apples",119,69.71,385.47,365.81,16248.93,18.03,0,0,9.62,0.87,0,127.73,1759.21,0,7.23,13.48,0,0,0.23,0,201.42,5.8,0,48.43,10.56,81.34,0,0,104.94,0.32,12.42
"4","Guatemala","Artichokes",0.1,17247849,7000,"Import_kg",366,"Artichokes",79,0,1.06,0,4.71,0,0,0,0,0,0,0.14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","Guatemala","Asparagus",0.0845294117647059,17247849,79000,"Import_kg",367,"Asparagus",80,0.11,11.69,1.1,16.5,0.12,0,0,0.11,0,0,1.17,13.19,0,0,0.45,0,0,0,0,0,0,0,0.24,0,0.38,0,0,0.5,0,0.25
"6","Guatemala","Avocados",0.048,17247849,3949000,"Import_kg",572,"Avocados",141,69.49,767.21,6719.65,2070.14,6.1,0,0,9.81,0.46,0.23,243.28,2090.81,0.1,3.15,80.97,0,0,0.66,0.15,6.77,14.43,0,1140.73,3788.39,793.71,0,0,36.68,0.56,18.13
"7","Guatemala","Bambara beans",0.028,17247849,22000,"Import_kg",203,"Bambara beans",37,1.56,80.81,25.64,246.6,0,0,0,0.22,0,0,5.72,21.87,0,0.13,1.18,0,0,0,0,0,0.87,0,0,0,0,0,0,0,0,0.11
"8","Guatemala","Bananas",0.04075,17247849,10739000,"Import_kg",486,"Bananas",117,153.92,1857.57,355.24,35668.26,16.27,0,0,15.05,1.22,0.25,519.19,2389.11,0.14,9.7,38.75,0,0,1.3,0.53,14.97,43.29,0.41,169.6,39.73,86.33,0,0,111.3,1.27,54.24
"9","Guatemala","Barley",0.04775,17247849,212000,"Import_kg",44,"Barley",3,8.86,235.39,35.82,1919.18,0,0,0,1.44,0.2,0,6.63,213.22,0,0.55,7.53,0,0,0.14,0,0.97,2,0,9.34,5.71,21.47,0,0,0.3,0,0
"10","Guatemala","Beans, dry",0.1145,17247849,11409000,"Import_kg",176,"Beans",30,190.36,12300.61,793.15,33507.49,1.05,0,0.24,80.83,4.21,1.69,675.5,7165.12,0.5,9.02,223.43,0.26,0.13,1.15,0.22,63.78,99.88,0.75,178.58,79.3,274.73,0,0,6.77,2.21,0
"11","Guatemala","Beans, green",0.0843965476190476,17247849,1000,"Import_kg",414,"Beans; green",92,0,0.31,0,0.51,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","Guatemala","Cabbages and other brassicas",0.08324,17247849,1000,"Import_kg",358,"Cabbages and other brassicas",78,0,0.16,0,0.31,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","Guatemala","Cashew nuts, with shell",0.0289438420348059,17247849,1000,"Import_kg",217,"Cashew nuts; with shell",43,0.11,3.68,8.43,4.84,0,0,0,0,0,0,0.13,0.53,0,0,0,0,0,0,0,0,0,0,1.56,4.77,1.57,0,0,0,0,0
"14","Guatemala","Cauliflowers and broccoli",0.103835520801038,17247849,33000,"Import_kg",393,"Cauliflowers and broccoli",84,0,5.71,0.6,7.5,0.15,0,0,0,0,0,0.55,3.5,0,0,0.2,0,0,0,0,0.12,0,0,0.11,0,0,0,0,0.16,0,0
"15","Guatemala","Cherries",0.1289,17247849,43000,"Import_kg",531,"Cherries",127,0,2.1,0.34,20.14,0,0,0,0,0,0,0.48,2.03,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.16,0,0
"16","Guatemala","Chick peas",0.04575,17247849,108000,"Import_kg",191,"Chick peas",33,4.82,266.12,68.9,798.16,0,0,0,1.87,0,0,11.07,104.47,0,0.27,4.25,0,0,0,0,2.01,1.35,0.15,8.44,18.66,36.41,0,0,0.14,0,0
