"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Greece","Almonds, with shell",0.0296505238073522,10522246,22162000,"Production_kg/Import_kg",221,"Almonds; with shell",45,4229.34,150663.76,363384.86,128264.27,73.88,0,0.31,1724.1,22.19,25.71,5592.77,51499.87,7.21,34.27,3428.83,1.52,5.45,27.74,0.97,370.09,2283.75,14.84,28065.65,239921.91,82857.96,0,0,35.33,20.84,461.72
"2","Greece","Anise, badian, fennel, coriander",0.00195,10522246,471000,"Import_kg",711,"Anise; badian; fennel; coriander",161,797.88,36299.55,32896.47,107274.59,23.99,0,0,1866.87,73.67,10.65,3405.38,54811.51,2.15,169.87,1056.14,0.75,0.69,7.07,1.15,1257.59,723.08,6.26,1933.27,24991.14,6033.04,0,0,22.87,15.45,0
"3","Greece","Apples",0.121111111111111,10522246,302807000,"Production_kg/Import_kg",515,"Apples",119,1333.85,7375.96,6999.74,310918.95,344.99,0.13,0,184.15,16.66,1.52,2444.04,33662.1,0.69,138.41,257.98,1.08,0.67,4.45,0.96,3854.11,110.89,0.83,926.7,201.97,1556.38,0,0,2007.93,6.11,237.61
"4","Greece","Apricots",0.03995,10522246,118620000,"Production_kg/Import_kg",526,"Apricots",125,1393.99,28218.42,7215.85,321238.49,188.59,3.61,0.25,479.71,22.41,6.21,8230.37,38565.17,2.2,37.39,672.54,0.66,3.15,22.01,1.52,79.01,282.18,2.17,804.22,4797.13,2215.15,0,0,2415.7,22.29,239.86
"5","Greece","Artichokes",0.1,10522246,15325000,"Production_kg/Import_kg",366,"Artichokes",79,80.83,3811.5,254.88,16898.32,12.05,0,0,121.32,1.95,0.5,498.59,3592.55,0.34,154.56,142.73,0.13,0,0.85,0.17,50.1,87.39,0.37,62.63,10.92,90.3,0,0,125.57,1.86,87.39
"6","Greece","Asparagus",0.0845294117647059,10522246,8648000,"Production_kg/Import_kg",367,"Asparagus",80,19.69,2097.39,197.24,2960.65,21.08,0,0,20.42,1.06,0.52,210.75,2365.93,0.15,4.49,81.51,0.12,0.12,0.87,0,15.56,13.61,0.15,43.75,4.86,68.06,0,0,90.26,0.64,45.7
"7","Greece","Avocados",0.048,10522246,12363000,"Production_kg/Import_kg",572,"Avocados",141,356.59,3937.13,34483.38,10623.41,31.31,0,0.14,50.34,2.35,1.18,1248.46,10729.48,0.52,16.15,415.51,0.15,0.34,3.39,0.75,34.76,74.05,0.35,5853.89,19440.96,4073.12,0,0,188.22,2.87,93.02
"8","Greece","Bananas",0.04075,10522246,213643000,"Production_kg/Import_kg",486,"Bananas",117,5019.31,60575.48,11584.45,1163143.22,530.46,1.83,0.93,490.87,39.8,8.22,16930.74,77909.13,4.6,316.24,1263.76,2.66,2.52,42.42,17.39,488.29,1411.73,13.45,5530.64,1295.47,2815.15,0,0,3629.46,41.3,1768.81
"9","Greece","Barley",0.04775,10522246,460339000,"Production_kg/Import_kg",44,"Barley",3,31530.78,837830,127498.12,6831014.39,61.08,0,1.92,5107.88,712.67,231.62,23592.46,758928.88,58.58,1960.69,26796.7,24.1,11.85,489.92,26.48,3463.28,7115.91,130.25,33258.49,20339.9,76412.08,0,0,1075.84,167.85,0
"10","Greece","Beans, dry",0.1145,10522246,13763000,"Import_kg",176,"Beans",30,376.42,24323.08,1568.36,66257.34,2.07,0,0.47,159.83,8.33,3.34,1335.73,14168.23,1,17.84,441.81,0.52,0.25,2.28,0.44,126.12,197.5,1.49,353.11,156.8,543.25,0,0,13.39,4.36,0
"11","Greece","Beans, green",0.0843965476190476,10522246,43107000,"Production_kg/Import_kg",414,"Beans; green",92,231.59,22133.79,2642.73,36322.02,111.25,0.15,0.31,305.61,10.55,2.25,1412.88,10876.64,0.25,80.5,517.48,0.62,4.83,4.25,0.67,39.32,145.62,0.42,236.24,88.99,456.29,0,0,403.45,5.51,60.19
"12","Greece","Berries nes",0.109406559397488,10522246,2e+05,"Production_kg",558,"Berries; nes",138,0.98,16.17,7.83,222.85,0.8,0,0,0.64,0,0,2.87,50.03,0,0.1,0.39,0,0,0,0,0.17,0.28,0,0.31,0.73,3.79,0,0,1.49,0,0
"13","Greece","Broad beans, horse beans, dry",0.052,10522246,12771000,"Production_kg/Import_kg",181,"Broad beans; horse beans; dry",32,780.75,56012.39,3707.27,128369.73,6.36,0,0.99,231.29,18.85,8.15,2785.01,45203.08,1.92,42.56,890.38,0.9,0.67,6.15,0.86,223.6,446.97,3.8,588.18,703.72,1408.61,0,0,24.34,7.01,63.02
"14","Greece","Buckwheat",0.0421111111111111,10522246,178000,"Import_kg",89,"Buckwheat",9,13.25,427.32,108.46,2767.8,0,0,0,1.69,0.28,0.11,16.51,373.59,0,0.24,14.1,0,0,0.23,0,0,9.2,0,29.77,41.78,41.74,0,0,0.54,0,0
