"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"16","United Republic of Tanzania","Cinnamon (cannella)",0.00115555555555556,56313438,146000,"Import_kg",693,"cinnamon (canella)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","United Republic of Tanzania","Cloves",0.0013,56313438,5000,"Import_kg",698,"Cloves",157,1.64,29.53,63.75,308.55,0,0,0,3.83,0,0,6.97,146.5,0,1.89,0.56,0,0,0,0,0.26,1.77,0.41,26.99,9.51,24.63,0,0,0.23,0,0
"18","United Republic of Tanzania","Cocoa, beans",0.0115,56313438,3000,"Import_kg",661,"Cocoa Beans",153,0.11,7.47,19.16,26.82,0,0,0,0,0,0,0.46,17.14,0,0,0.27,0,0,0,0,0,0.23,0,10.66,7.36,0.4,0,0,0,0,0
"19","United Republic of Tanzania","Coffee, green",0.00312,56313438,2000,"Import_kg",656,"Coffee",152,0.21,12.87,16.98,41.21,0,0,0,0.12,0,0,2.53,0,0,0,0.32,0,0,0,0,0,0.21,0,0,0.28,0,0,0,0,0,0
"20","United Republic of Tanzania","Cucumbers and gherkins",0.0675,56313438,1000,"Import_kg",397,"Cucumbers and gherkins",86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","United Republic of Tanzania","Currants",0.038,56313438,5000,"Import_kg",550,"Currants",135,0,0.42,0,6.99,0,0,0,0,0,0,0,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","United Republic of Tanzania","Dates",0.0393863636363636,56313438,2316000,"Import_kg",577,"Dates",121,20.76,183.52,30.67,5321.21,0.71,0,0,4.33,0.17,0,63.02,515.83,0,0.21,8.39,0,0,0.17,0,0.85,4.21,0,1.67,1.88,0.99,0,0,3.95,0.14,1.81
"23","United Republic of Tanzania","Figs",0.0504615384615385,56313438,37000,"Import_kg",569,"Figs",139,0,1.32,0.27,16.23,0,0,0,0,0,0,0.29,2.86,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0.11,0,0
"24","United Republic of Tanzania","Fruit, fresh nes",0.107099201828105,56313438,70000,"Import_kg",619,"Fresh fruit; nes",147,0.1,1.77,0.88,22.37,0,0,0,0,0,0,0.32,4.03,0,0,0,0,0,0,0,0,0,0,0.14,0,0.14,0,0,0,0,0
"25","United Republic of Tanzania","Fruit, tropical fresh nes",0.1073859375,56313438,1000,"Import_kg",603,"Fruit; tropical fresh; nes",146,0,0,0,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","United Republic of Tanzania","Garlic",0.00732,56313438,402000,"Import_kg",406,"Garlic",90,11.9,495.52,24.41,2491.36,1.3,0,0,5.01,0.14,0.11,43.06,154.82,0,1.7,19.78,0,0,0,0,2.26,3.8,0.13,8.73,1.02,23.36,0,0,6.38,0.14,1.27
"27","United Republic of Tanzania","Ginger",0.02852,56313438,6000,"Import_kg",720,"Ginger",162,0,1.82,0.79,15.22,0,0,0,0,0,0,0.34,2.21,0,0,0,0,0,0,0,0,0,0,0.97,0.18,0.35,0,0,0,0,0
"28","United Republic of Tanzania","Grapefruit (inc. pomelos)",0.15,56313438,10000,"Import_kg",507,"Grapefruit",115,0,0,0,0.95,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","United Republic of Tanzania","Grapes",0.1235,56313438,199000,"Import_kg",560,"Grapes",122,0.18,1.54,0.68,41.79,0,0,0,0,0,0,0.52,6.05,0,0,0,0,0,0,0,0,0,0,0.34,0,0.27,0,0,0.24,0,0
"30","United Republic of Tanzania","Kiwi fruit",0.145,56313438,23000,"Import_kg",592,"Kiwi fruit",144,0,0.3,0.19,3.87,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31","United Republic of Tanzania","Lemons and limes",0.0785,56313438,214000,"Import_kg",497,"Lemons; Limes",114,0.18,3.67,2.02,40.24,0.2,0,0,0.18,0,0,1.02,6.44,0,0,0,0,0,0,0,0,0,0,0.16,0,0.33,0,0,0.43,0,0.17
"32","United Republic of Tanzania","Lentils",0.0454634146341463,56313438,42000,"Import_kg",201,"Lentils",36,0.54,37.9,1.72,92.06,0,0,0,0.11,0,0,1.37,18.91,0,0,0.54,0,0,0,0,0.32,0.13,0,0.23,0.29,0.72,0,0,0,0,0
"33","United Republic of Tanzania","Linseed",0.0178426203877423,56313438,2000,"Import_kg",333,"Oilcrops; Other",62,0.1,3.81,7.74,5.42,0,0,0,0,0,0,0.14,2.46,0,0,0.11,0,0,0,0,0,0,0,0.87,2,5.26,0,0,0,0,0
"34","United Republic of Tanzania","Maize",0.0869363057324841,56313438,74158000,"Import_kg",56,"Maize",4,535.24,13091.92,5184.81,109323.54,1.04,0,0,31.61,4.93,2.72,446.26,7844.79,0.27,14.16,331.56,0.4,0.18,3.91,0.54,0,166.12,0.37,896.36,1950.64,3659.29,0,0,18.88,1.9,0
"35","United Republic of Tanzania","Mangoes, mangosteens, guavas",0.09628125,56313438,761000,"Import_kg",571,"Mangos; mangosteens; guavas",140,0.86,10.54,3.47,193.64,1.21,0,0,0.25,0,0,2.52,37.43,0,0.15,0.27,0,0,0,0,0.11,0.64,0,2.14,1.06,2.36,0,0,1.16,0,0.37
"36","United Republic of Tanzania","Millet",0.0477,56313438,2000,"Import_kg",79,"Millet",7,0,0.69,0.28,5.24,0,0,0,0,0,0,0,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0,0
"37","United Republic of Tanzania","Mushrooms and truffles",0.0389236263736264,56313438,1000,"Import_kg",449,"Mushrooms and truffles",99,0,0.12,0,0.23,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","United Republic of Tanzania","Mustard seed",0.0841,56313438,20000,"Import_kg",292,"Rape and Mustardseed",56,0.22,9.73,16.1,11,0,0,0,0.16,0,0,0.31,3,0,0,0.32,0,0,0,0,0,0.16,0,0.84,9.51,4.26,0,0,0,0,0
"39","United Republic of Tanzania","Nutmeg, mace and cardamoms",0.021,56313438,3000,"Import_kg",702,"Nutmeg; mace; and cardamoms",160,0.1,2.24,5.06,12.82,0,0,0,0,0,0,0.16,4.43,0,0,0,0,0,0,0,0.2,0,0,3.06,1.29,0.44,0,0,0,0,0
"40","United Republic of Tanzania","Oats",0.0434605263157895,56313438,11000,"Import_kg",75,"Oats",6,0.16,6.14,2.77,29.14,0,0,0,0,0,0,0.18,1.99,0,0,0.16,0,0,0,0,0,0,0,0.53,0.99,1.12,0,0,0,0,0
"41","United Republic of Tanzania","Oilseeds nes",0.0178426203877423,56313438,134000,"Import_kg",339,"Oilcrops; Other",62,6.95,254.99,518.59,362.96,0,0,0,4.52,0.23,0,9.6,164.7,0,0.44,7.36,0,0,0,0,0.58,4.44,0,58.62,134.19,352.11,0,0,0,0,0.31
"42","United Republic of Tanzania","Olives",0.014,56313438,8000,"Import_kg",260,"Olives",61,0,0.97,16.05,6.02,0,0,0,0,0,0,0,2.89,0,0.75,0,0,0,0,0,0,0,0,1.18,6.57,0.76,0,0,0,0,0
"43","United Republic of Tanzania","Onions, dry",0.093304347826087,56313438,168000,"Import_kg",403,"Onions",77,0.13,3.68,0.45,26.71,0,0,0,0.13,0,0,0.41,4.54,0,0,0.17,0,0,0,0,0,0,0,0.11,0,0.18,0,0,0.29,0,0
"44","United Republic of Tanzania","Oranges",0.138371428571429,56313438,88000,"Import_kg",490,"Oranges; Mandarines",113,0,0.9,0.26,11.29,0,0,0,0,0,0,0.19,1.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45","United Republic of Tanzania","Peaches and nectarines",0.105333333333333,56313438,29000,"Import_kg",534,"Peaches and nectarines",128,0,0.41,0,5.48,0,0,0,0,0,0,0.1,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","United Republic of Tanzania","Pears",0.04975,56313438,64000,"Import_kg",521,"Pears",123,0.12,1.04,0.68,28.86,0,0,0,0,0,0,0.25,4.49,0,0,0,0,0,0,0,0,0,0,0,0.19,0.21,0,0,0.19,0,0
"47","United Republic of Tanzania","Peas, dry",0.0623254069051863,56313438,9059000,"Import_kg",187,"Cow peas; dry",34,85.43,5592.45,381.91,14528.78,0.25,0,0.1,24.93,2,1.08,257.41,2738.11,0.22,6.65,104.8,0.14,0,0.7,0,38.29,52.37,0.33,85.43,27.36,139.9,0,0,3.01,0.91,0
"48","United Republic of Tanzania","Peas, green",0.0753287037037037,56313438,1391000,"Import_kg",417,"Peas; green",93,2.1,257.62,12.79,368.35,1.04,0,0,1.2,0,0,7.11,106.9,0,0.33,4.41,0,0,0,0,0.75,0.99,0,1.97,1.05,4.66,0,0,2.32,0,1.33
"49","United Republic of Tanzania","Pepper (piper spp.)",0.002,56313438,4000,"Import_kg",687,"Pepper",155,1.02,34.64,14.55,198.27,0,0,0,1.28,0,0,2.48,69.33,0,0,0.57,0,0,0,0,0,0.55,0,3.58,2.71,2.87,0,0,0,0,0
"50","United Republic of Tanzania","Pineapples",0.1096,56313438,2000,"Import_kg",574,"Pineapples",120,0,0,0,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51","United Republic of Tanzania","Pistachios",0.0315019230769231,56313438,1000,"Import_kg",223,"Pistachios",47,0,1.14,2.94,1.2,0,0,0,0,0,0,0,0.39,0,0,0,0,0,0,0,0,0,0,0.3,1.66,0.67,0,0,0,0,0
"52","United Republic of Tanzania","Plantains and others",0.104,56313438,24000,"Import_kg",489,"Plantains",118,0,0.53,0.15,11.63,0,0,0,0,0,0,0.18,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53","United Republic of Tanzania","Plums and sloes",0.0704444444444444,56313438,1000,"Import_kg",536,"Plums and sloes",129,0,0,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54","United Republic of Tanzania","Potatoes",0.133867924528302,56313438,90000,"Import_kg",116,"Potatoes",18,0,2.46,0.16,21.39,0,0,0,0,0,0,0.45,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55","United Republic of Tanzania","Pumpkins, squash and gourds",0.100019949494949,56313438,1000,"Import_kg",394,"Pumpkins; squash; and gourds",85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56","United Republic of Tanzania","Quinoa",0.0438703703703704,56313438,1000,"Import_kg",92,"Quinoa",15,0,0.49,0.24,2.45,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0,0
"57","United Republic of Tanzania","Rice, paddy (rice milled equivalent)",0.0488821264103023,56313438,190408000,"Import_kg",30,"Rice (Milled Equivalent)",2,2449.44,51423.28,7380.35,537546.12,0.24,0,0.13,238.95,15.21,8.58,866.6,11552.96,1.04,64.77,1080.57,1.23,0.38,23.13,1.54,0,403.5,6.94,868.09,1248.53,1162.07,0,0,81.26,5.94,0
"58","United Republic of Tanzania","Roots and tubers nes",0.125770747489689,56313438,16000,"Import_kg",149,"Roots and tubers; nes",23,0,0.44,0.17,4.9,0,0,0,0,0,0,0.11,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59","United Republic of Tanzania","Sesame seed",0.0154423214285714,56313438,38000,"Import_kg",289,"Sesameseed",59,2.5,85.77,211.74,71.49,0,0,0,3.54,0,0,2.12,52.22,0,0.17,2.63,0,0,0,0,0.11,1.52,0,35.3,95.31,102.89,0,0,0,0,0
"60","United Republic of Tanzania","Sorghum",0.0326666666666667,56313438,59000,"Import_kg",83,"Sorghum",8,1.12,37.65,11.15,228.76,0,0,0,0,0,0,1,10.8,0,0,1.15,0,0,0,0,0,0.81,0,1.96,3.63,5,0,0,0,0,0
"61","United Republic of Tanzania","Soybeans",0.071,56313438,7208000,"Import_kg",236,"Soyabeans",53,72.91,6378.3,3139.03,4289.45,0.59,0,0,42.81,1.57,0.72,270.52,1774.99,0.24,1.75,109.05,0.12,0,0.41,0.12,20.89,42.81,0.39,519.56,789.08,1909.6,0,0,1.61,0.91,0
"62","United Republic of Tanzania","Spices nes",0.00767204314204314,56313438,247000,"Import_kg",723,"Spices; nes",163,13.48,567.23,400.45,2212.94,2.34,0,0,42.18,1.43,0.18,63.57,959.35,0,3.35,11.23,0,0,0.28,0,8.33,14.77,0.33,97.59,176.06,110.65,0,0,2.12,0.32,0.58
"63","United Republic of Tanzania","Sunflower seed",0.0295859213250518,56313438,1770000,"Import_kg",267,"Sunflowerseed",55,59.06,2040.46,4634.42,3175.85,0,0,0,15.35,0.56,0.29,83.13,1257.14,0.19,1.56,72.06,0.17,0,0.72,0.14,5.85,34.53,0.21,502.24,1462.25,3513.1,0,0,0.55,0.37,4.89
"64","United Republic of Tanzania","Sweet potatoes",0.10804347826087,56313438,1000,"Import_kg",122,"Sweet Potatoes",19,0,0,0,0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65","United Republic of Tanzania","Tangerines, mandarins, clementines, satsumas",0.138371428571429,56313438,23000,"Import_kg",495,"Oranges; Mandarines",113,0,0.23,0,2.95,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66","United Republic of Tanzania","Tea",0.0019,56313438,123000,"Import_kg",667,"Tea",154,0.72,431.09,51.73,214.9,2.59,0,0,19.26,1.07,0,26.5,0,0,2.15,11.34,0,0,0.11,0,0.29,2.15,0.16,1.43,0.72,2.87,0,0,1.84,0.51,0
"67","United Republic of Tanzania","Tomatoes",0.0714285714285714,56313438,5000,"Import_kg",388,"Tomatoes",76,0,0.12,0,0.45,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"68","United Republic of Tanzania","Vanilla",0.003,56313438,1000,"Import_kg",692,"Vanilla",158,0.17,0,0,7.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"69","United Republic of Tanzania","Vegetables, fresh nes",0.075156077445368,56313438,15000,"Import_kg",463,"Vegetables; fresh; nes",101,0,1.13,0.24,2.83,0,0,0,0,0,0,0.14,1.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70","United Republic of Tanzania","Walnuts, with shell",0.0301725284440344,56313438,1000,"Import_kg",222,"Walnuts; with shell",46,0,0.92,3.45,0.83,0,0,0,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0.3,0.76,2.41,0,0,0,0,0
"71","United Republic of Tanzania","Watermelons",0.193615384615385,56313438,4000,"Import_kg",567,"Watermelons",110,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72","United Republic of Tanzania","Wheat",0.0442045454545455,56313438,833086000,"Import_kg",15,"Wheat",1,11272.02,382899.1,61494.77,2320956.31,11.16,0,1.36,1423.66,131.65,82.52,11449.28,169340.71,15.73,248.32,10253.03,11.13,6.86,154.22,18.88,1044.16,4576.55,89.99,14390.61,9471.03,39055.46,0,0,373.26,63.3,0
